NAV Date,NAV (Rs)
28-02-2025,132.442
27-02-2025,134.859
25-02-2025,135.598
24-02-2025,136.15
21-02-2025,137.467
20-02-2025,138.366
19-02-2025,137.591
18-02-2025,136.515
17-02-2025,136.923
14-02-2025,136.7
13-02-2025,138.707
12-02-2025,138.513
11-02-2025,138.489
10-02-2025,141.566
07-02-2025,143.528
06-02-2025,143.465
05-02-2025,144.336
04-02-2025,143.497
03-02-2025,141.869
31-01-2025,142.411
30-01-2025,140.749
29-01-2025,140.707
28-01-2025,138.181
27-01-2025,138.257
24-01-2025,140.898
23-01-2025,142.868
22-01-2025,141.578
21-01-2025,142.18
20-01-2025,144.474
17-01-2025,143.823
16-01-2025,144.038
15-01-2025,142.737
14-01-2025,142.571
13-01-2025,141.412
10-01-2025,145.539
09-01-2025,147.423
08-01-2025,148.865
07-01-2025,150.203
06-01-2025,149.447
03-01-2025,152.638
02-01-2025,153.293
01-01-2025,151.261
31-12-2024,150.565
30-12-2024,150.557
27-12-2024,151.028
26-12-2024,150.671
24-12-2024,150.416
23-12-2024,150.023
20-12-2024,149.763
19-12-2024,152.644
18-12-2024,153.435
17-12-2024,154.423
16-12-2024,155.485
13-12-2024,155.073
12-12-2024,155.039
11-12-2024,155.247
10-12-2024,155.067
09-12-2024,154.483
06-12-2024,154.647
05-12-2024,154.159
04-12-2024,153.223
03-12-2024,152.47
02-12-2024,151.477
30-11-2024,150.491
29-11-2024,150.491
28-11-2024,149.698
27-11-2024,150.276
26-11-2024,149.324
25-11-2024,148.964
22-11-2024,146.99
21-11-2024,144.732
19-11-2024,145.152
18-11-2024,144.337
14-11-2024,145.013
13-11-2024,144.441
12-11-2024,147.435
11-11-2024,149.081
08-11-2024,149.333
07-11-2024,150.786
06-11-2024,152.14
05-11-2024,149.578
04-11-2024,148.685
31-10-2024,149.654
30-10-2024,149.909
29-10-2024,149.663
28-10-2024,148.78
25-10-2024,147.788
24-10-2024,150.063
23-10-2024,150.547
22-10-2024,149.738
21-10-2024,153.244
18-10-2024,155.082
17-10-2024,154.888
16-10-2024,157.119
15-10-2024,157.72
14-10-2024,156.874
11-10-2024,156.417
10-10-2024,156.12
09-10-2024,156.519
08-10-2024,155.503
07-10-2024,153.384
04-10-2024,155.832
03-10-2024,157.538
01-10-2024,160.406
30-09-2024,160.19
27-09-2024,161.176
26-09-2024,161.42
25-09-2024,160.779
24-09-2024,160.814
23-09-2024,161.087
20-09-2024,159.975
19-09-2024,158.163
18-09-2024,158.983
17-09-2024,159.94
16-09-2024,159.603
13-09-2024,159.474
12-09-2024,159.343
11-09-2024,157.204
10-09-2024,157.755
09-09-2024,156.395
06-09-2024,156.398
05-09-2024,158.323
04-09-2024,157.609
